# LBCH-2026-001 — CAUSAL PARTITION of the sigCheck over-bills vs BCHN.
#
# WHAT THIS SUPERSEDES. conformance/evidence/LBCH-2026-001-threeway.tsv reported "LeanBCH over-bills
# BCHN on 2,384 of 4,467 vectors". That number is measured against a BROKEN COMPARAND and must not
# be cited. BCHN's VerifyScript (bchn-src/src/script/interpreter.cpp:2677) accumulates into a LOCAL
# 'metrics' (:2691) and copies it to the caller's 'metricsOut' at exactly two sites, :2745 and :2794,
# BOTH success returns (upstream's own comment at :2744 reads "must set metricsOut for all successful
# returns"). Every failure return leaves metricsOut untouched. bch-conformance's bchn-leg passes a
# default-constructed object (legs/bchn/bchn-leg.cpp:315) and reads it unconditionally (:323-325), so
# on EVERY reject it reports 0/0/0 — an initializer, not a measurement.
# MEASURED, not inferred: over all 5,803 vectors of the 11 signature families under --mode consensus,
# the leg's 3,453 rejects span 9 distinct native_error classes and have exactly ONE distinct metric
# signature: op_cost=0, hash_iters=0, sig_checks=0, op_cost_limit=null. Positive control: op_cost_limit
# is populated on 2,350/2,350 accepts and 0/3,453 rejects — the SetScriptLimits(:2695)-copied-only-on-
# success signature. 'ruwzjq' is self-refuting: rejected for "VM cost limit exceeded" at op_cost=0.
#
# HOW THE COMPARAND WAS REPAIRED. A new instrument, bchn-partial-probe, transcribes VerifyScript's
# body verbatim (same flags, same order, same EvalScript calls, same P2SH / CLEANSTACK /
# INPUT_SIGCHECKS gates) with ONE change: the metrics object is the caller's, so BCHN's real accrual
# up to its error point is observable. BCHN's sources are NOT modified; it links the same static libs.
# PROBE VALIDATION (before any use): over all 5,803 vectors it agrees with bchn-leg on 5,803/5,803
# verdicts, on the native_error string for all 3,453 rejects, and on all three metrics for all 2,350
# accepts. Source: conformance/evidence/bchn-partial-probe.cpp (committed alongside this file).
#
# DRIVER VALIDATION (before any use): costprobe + the libauth driver reproduce all 1,486 rows of
# LBCH-2026-001-fix-deltas.tsv on three independent columns (sigChecksAfter, libauthSigChecks,
# opCostAfter) with 0 mismatches, and the libauth driver reproduces the 0u4tu8 root-cause witness
# exactly (sigChecks 1, hashIters 22, instr 25, stackPushedBytes 1054).
# All four published triples were REPRODUCED before being partitioned: vs libauth before
# (2229,1912,326) after (2799,1342,326); vs BCHN-leg before (1549,2594,324) after (1759,2384,324).
#
# THE PARTITION of the 2,384 leg-reported over-bills (disjoint; sums to 2,384):
#   436  A-leg-artifact-agree   LeanBCH's count EQUALS BCHN's real accrual. Pure instrument artifact.
#   638  B1-sig-verify-fail     BCHN aborted at SIG_NULLFAIL: a non-empty signature failed verification.
#  1052  B2-sig-encoding-fail   BCHN aborted at SIG_HASHTYPE (666) / SIG_NONSCHNORR (276) /
#                               SIG_BADLENGTH (110): a non-empty signature failed encoding.
#    26  D1-pubkey-encoding-fail BCHN aborted at PUBKEYTYPE — the PUBKEY, not a signature, was malformed.
#   232  D2-checkbits-malformed BCHN aborted at INVALID_BIT_COUNT (228) / INVALID_BITFIELD_SIZE (4),
#                               before reaching any signature at all.
#   ----
#  2384  total.  1,948 of these are GENUINE over-bills against BCHN's real accrual; 436 are not.
#
# MECHANISM (source-verified, both paths). BCHN tallies a signature check only AFTER that check has
# passed. Schnorr multisig: encoding check interpreter.cpp:1598, CheckSig :1606, NULLFAIL return
# :1611, and only then TallySigChecks(1) at :1616. Legacy ECDSA multisig: the NULLFAIL return sits at
# :1686, BEFORE the bulk TallySigChecks(nKeysCount) at :1692 — so a failed ECDSA multisig with a
# non-null signature tallies NOTHING, not nKeysCount. Every one of the 7 error classes above is raised
# only inside case OP_CHECKSIG/VERIFY (:1399-1448), OP_CHECKDATASIG/VERIFY (:1449-1495) or
# OP_CHECKMULTISIG/VERIFY (:1496-1710) — verified by grepping every ScriptError:: raise site.
# LeanBCH bills the leading non-empty signature run; BCHN's accrual stops at, and EXCLUDES, the first
# failing signature. Hence LeanBCH >= BCHN on all 1,948, delta 1..20, measured, never below.
#
# SOUNDNESS, against the REPAIRED comparand: LeanBCH under-bills BCHN on 324 vectors; all 324 are
# vectors LeanBCH REJECTS and BCHN accepts; 0 occur on a LeanBCH accept. On the 1,547 vectors BOTH
# engines accept, LeanBCH equals BCHN on sigChecks 1,547/1,547 exactly.
#
# ENGINE / CORPUS VERSIONS
#   leanbch = ./.lake/build/bin/costprobe @ LeanBCH commit 9331052, LEANBCH_SECP=native
#             (oracle banner: "native(libsecp256k1/BCHN-vendored)")
#   bchnLeg = bch-conformance @ 729884e, legs/bchn/bchn-leg --mode consensus
#   bchnTrue= bchn-partial-probe (this repo, conformance/evidence/bchn-partial-probe.cpp),
#             linking bchn-src @ 864c53ee34924cca6c6b6d96607ff2cedcdccf02 (v29.0.1), kBlockFlags
#   libauth = @bitauth/libauth 3.1.0-next.8 (LeanBCH/optimizer/node_modules),
#             createVirtualMachineBch2026(); verify() for the verdict, evaluate().metrics for counts
#   corpus  = bchd-src/txscript/data/vmb_tests @ 1c26e26, bch_2026_{standard,nonstandard,invalid},
#             the 11 signature families: 5,803 vectors, 4,467 metric-comparable.
#   Measured 2026-07-21.
#
# cause: agree | A-leg-artifact-agree | B1-* | B2-* | D1-* | D2-* | X-over-on-bchn-accept | U-under-bill
# bchnLegSig is what bch-conformance's leg reports (0 on every reject — DO NOT compare against it).
# bchnTrueSig is BCHN's real accrual at its stopping point. Compare against THAT.
vectorId	family	variant	expected	leanVerdict	bchnOutcome	sigBefore	sigAfter	sigLibauth	bchnLegSig	bchnTrueSig	delta	cause	bchnStopReason	bchnPhase	leanHash	bchnTrueHash	leanOpCost	bchnTrueOpCost
009y97	core.signing-serialization	standard	1	1	accept	4	4	4	4	4	0	agree	-	ok	20	22	109801	109931
00kmpz	core.signing-serialization	standard	1	0	accept	2	1	4	4	4	-3	U-under-bill	-	ok	9	23	28996	110560
00yx5p	core.signing-serialization	invalid	0	0	reject	3	1	0	0	0	1	B2-sig-encoding-fail	Signature hash type missing or not understood	eval_redeem	12	5	29465	3017
020v0e	core.data-signatures	standard	1	1	accept	1	1	1	1	1	0	agree	-	ok	1	1	26886	26886
0286yt	core.signing-serialization	invalid	0	0	reject	1	1	1	0	1	0	A-leg-artifact-agree	Signature must be zero for failed CHECK(MULTI)SIG operation	eval_redeem	7	7	27918	27917
02armf	core.signing-serialization	invalid	0	0	reject	5	5	5	0	5	0	A-leg-artifact-agree	Signature must be zero for failed CHECK(MULTI)SIG operation	eval_redeem	23	39	136493	137518
02qzv6	core.signing-serialization	invalid	0	0	reject	5	5	5	0	5	0	A-leg-artifact-agree	Signature must be zero for failed CHECK(MULTI)SIG operation	eval_redeem	20	34	136298	137195
02r3pu	core.signature-checking.multisig.signing-serialization	standard	1	0	accept	3	2	2	2	2	0	agree	-	ok	13	15	54510	54639
03eju4	core.data-signatures	standard	1	1	accept	1	1	1	1	1	0	agree	-	ok	3	3	27540	27540
03gmqd	core.signing-serialization	invalid	0	0	reject	7	7	7	0	7	0	A-leg-artifact-agree	Signature must be zero for failed CHECK(MULTI)SIG operation	eval_redeem	24	54	188927	190848
03pu8c	core.signing-serialization	standard	1	0	accept	1	1	4	4	4	-3	U-under-bill	-	ok	7	19	28495	109698
03rku8	core.signing-serialization	standard	1	1	accept	8	8	8	8	8	0	agree	-	ok	28	46	215326	216480
03rw7x	core.signature-checking.multisig.signing-serialization	standard	1	0	accept	3	2	2	2	2	0	agree	-	ok	13	15	54510	54639
03uzgm	core.data-signatures	standard	1	1	accept	1	1	1	1	1	0	agree	-	ok	1	1	26903	26903
047tz3	core.signing-serialization	invalid	0	0	reject	1	1	1	0	0	1	B1-sig-verify-fail	Signature must be zero for failed CHECK(MULTI)SIG operation	eval_redeem	8	9	28583	2647
04m8ce	core.signing-serialization	invalid	0	0	reject	7	7	7	0	7	0	A-leg-artifact-agree	Signature must be zero for failed CHECK(MULTI)SIG operation	eval_redeem	27	61	189175	191352
04w0d5	core.signing-serialization	standard	1	0	accept	3	1	4	4	4	-3	U-under-bill	-	ok	11	27	29393	111218
050ryr	core.signature-checking.multisig.m-of-15	invalid	0	0	reject	15	1	1	0	0	1	B1-sig-verify-fail	Signature must be zero for failed CHECK(MULTI)SIG operation	eval_redeem	21	10	30862	4158
052qpx	core.signing-serialization	invalid	0	0	reject	1	1	1	0	0	1	B1-sig-verify-fail	Signature must be zero for failed CHECK(MULTI)SIG operation	eval_redeem	7	8	28482	2546
06k33j	core.signing-serialization	invalid	0	1	reject	6	6	0	0	0	6	B2-sig-encoding-fail	Signature hash type missing or not understood	eval_scriptpubkey	20	0	161833	1867
06mncj	core.data-signatures	standard	1	1	accept	1	1	1	1	1	0	agree	-	ok	3	3	27456	27456
06qssy	core.signing-serialization	invalid	0	0	reject	7	7	0	0	0	7	B2-sig-encoding-fail	Signature hash type missing or not understood	eval_redeem	27	5	189175	3052
06rr6t	core.signature-checking.multisig.m-of-15	standard	1	1	accept	15	15	15	15	15	0	agree	-	ok	21	190	394866	405683
072km0	core.signature-checking.multisig.m-of-3	invalid	0	0	reject	3	2	0	0	0	2	D2-checkbits-malformed	Invalid number of bit set in OP_CHECKMULTISIG	eval_redeem	13	3	54510	1870
076wqt	core.signing-serialization	standard	1	1	accept	4	4	4	4	4	0	agree	-	ok	18	18	108447	108447
07el37	core.signature-checking.multisig.m-of-3	invalid	0	0	reject	3	2	0	0	0	2	D2-checkbits-malformed	Invalid number of bit set in OP_CHECKMULTISIG	eval_redeem	13	3	54540	1900
07gqep	core.signing-serialization	invalid	0	0	reject	1	1	0	0	0	1	B2-sig-encoding-fail	Signature hash type missing or not understood	eval_redeem	8	3	28578	2258
07gtkk	core.signing-serialization	standard	1	1	accept	4	4	4	4	4	0	agree	-	ok	18	18	108447	108447
07qne6	core.signature-checking.multisig.signing-serialization	standard	1	0	accept	3	2	2	2	2	0	agree	-	ok	13	15	54510	54639
0820et	core.signing-serialization	standard	1	0	accept	3	1	4	4	4	-3	U-under-bill	-	ok	12	30	29489	111442
08eklp	core.signing-serialization	invalid	0	0	reject	3	1	1	0	0	1	B1-sig-verify-fail	Signature must be zero for failed CHECK(MULTI)SIG operation	eval_redeem	11	5	29393	3009
08hle3	core.signing-serialization	standard	1	0	accept	2	1	4	4	4	-3	U-under-bill	-	ok	9	23	28996	110560
08t98k	core.signature-checking.multisig.pubkey-validation	standard	1	0	accept	2	1	1	1	1	0	agree	-	ok	8	9	27922	27987
08urtk	core.signing-serialization	standard	1	1	accept	6	6	6	6	6	0	agree	-	ok	17	19	161604	161734
08wqfe	core.signing-serialization	standard	1	1	accept	8	8	8	8	8	0	agree	-	ok	25	41	215121	216147
092c78	core.signing-serialization	standard	1	0	accept	2	1	4	4	4	-3	U-under-bill	-	ok	9	23	28996	110560
09cuxu	core.signing-serialization	standard	1	1	accept	4	4	4	4	4	0	agree	-	ok	18	18	108404	108404
09s4cl	core.signing-serialization	standard	1	0	accept	3	1	4	4	4	-3	U-under-bill	-	ok	11	27	29369	111194
0a5ukr	core.signing-serialization	invalid	0	0	reject	7	7	0	0	0	7	B2-sig-encoding-fail	Signature hash type missing or not understood	eval_redeem	27	5	189175	3052
