# LBCH-2026-001 fix witness — per-vector sigCheck deltas from the CHECKMULTISIG Schnorr billing fix.
# Every vector whose LeanBCH signatureCheckCount MOVED, over the 11 signature families of the
# official BCH vmb_test corpus (5,803 vectors; 4,467 reach a comparable metric total).
#
# Sources: corpus  = bchn-src/src/test/data/vmb_tests @ 864c53e (BCHN v29.0.1)
#          leanbch = ./.lake/build/bin/costprobe, LEANBCH_SECP=native, this commit vs parent a8b7682
#          libauth = @bitauth/libauth 3.1.0-next.8 at LeanBCH/optimizer/node_modules,
#                    createVirtualMachineBch2026().evaluate() — driver validated against the
#                    committed 0u4tu8 witness (libauth sigChecks 1, hashIters 22: reproduced exactly).
# Measured 2026-07-21.
#
# Direction: sigChecksAfter <= sigChecksBefore on EVERY vector (0 increases corpus-wide).
# Non-sig metrics (evaluatedInstructionCount / hashDigestIterations / arithmeticCost /
# stackPushedBytes) and all verdicts are UNCHANGED on all 4,467 vectors.
#
# NOTE on libauthSigChecks: this is libauth's WHOLE-INPUT total. Where it exceeds LeanBCH's by a
# wide margin the cause is the still-DEFERRED Schnorr-multisig execution branch
# (LeanBCH/VM/Extended.lean:228): LeanBCH errors at the first Schnorr CHECKMULTISIG and never
# executes the input's remaining signature ops, so their checks are never billed. All 216 vectors
# whose libauth-relative under-bill DEEPENED are vectors LeanBCH REJECTS for that reason.
vectorId	family	sigChecksBefore	sigChecksAfter	libauthSigChecks	opCostBefore	opCostAfter
00kmpz	core.signing-serialization	2	1	4	54996	28996
00yx5p	core.signing-serialization	3	1	0	81465	29465
02r3pu	core.signature-checking.multisig.signing-serialization	3	2	2	80510	54510
03rw7x	core.signature-checking.multisig.signing-serialization	3	2	2	80510	54510
04w0d5	core.signing-serialization	3	1	4	81393	29393
050ryr	core.signature-checking.multisig.m-of-15	15	1	1	394862	30862
072km0	core.signature-checking.multisig.m-of-3	3	2	0	80510	54510
07el37	core.signature-checking.multisig.m-of-3	3	2	0	80540	54540
07qne6	core.signature-checking.multisig.signing-serialization	3	2	2	80510	54510
0820et	core.signing-serialization	3	1	4	81489	29489
08eklp	core.signing-serialization	3	1	1	81393	29393
08hle3	core.signing-serialization	2	1	4	54996	28996
08t98k	core.signature-checking.multisig.pubkey-validation	2	1	1	53922	27922
092c78	core.signing-serialization	2	1	4	54996	28996
09s4cl	core.signing-serialization	3	1	4	81369	29369
0c4gpz	core.signature-checking.multisig.m-of-20	20	2	2	527104	59104
0cd4q7	core.signature-checking.multisig.m-of-3	3	2	0	80524	54524
0cfdt2	core.signing-serialization	2	1	1	54996	28996
0ddnvn	core.signing-serialization	2	1	1	55105	29105
0dflf0	core.signing-serialization	2	1	4	55073	29073
0dhre9	core.signing-serialization	3	1	4	81393	29393
0e9l6n	core.signature-checking.multisig.m-of-3	3	2	1	80523	54523
0f235x	core.signing-serialization	3	1	0	81465	29465
0fjrvm	core.signing-serialization	3	1	0	81489	29489
0fvdze	core.signing-serialization	3	1	4	81489	29489
0fzk0q	core.signature-checking.multisig.m-of-3	3	2	1	80517	54517
0gc03x	core.signature-checking.multisig.m-of-3	3	2	0	80541	54541
0gvec6	core.signature-checking.multisig.m-of-3	3	2	2	80517	54517
0gzwyq	core.signature-checking.multisig.signing-serialization	3	2	2	80534	54534
0hpxgu	core.signing-serialization	3	1	4	81369	29369
0hq5n9	core.signing-serialization	2	1	4	55068	29068
0j0a6m	core.signature-checking.multisig.m-of-3	3	2	0	80517	54517
0k87ea	core.signing-serialization	3	1	0	81489	29489
0l5upk	core.signing-serialization	3	1	1	81489	29489
0l92g9	core.signature-checking.multisig.m-of-3	3	2	1	80534	54534
0l9sju	core.signature-checking.multisig.signing-serialization	3	2	2	80510	54510
0lhvxs	core.signature-checking.multisig.m-of-3	3	2	0	80540	54540
0myx4l	core.signing-serialization	2	1	1	54972	28972
0ncspw	core.signature-checking.multisig.m-of-20	20	2	1	527118	59118
0nf930	core.signing-serialization	2	1	4	54996	28996
0nucey	core.signature-checking.multisig.m-of-20	20	2	1	527080	59080
0nunem	core.signature-checking.multisig.m-of-3	3	2	0	80540	54540
0q276w	core.signature-checking.multisig.m-of-3	3	1	1	80055	28055
0q85fk	core.signing-serialization	2	1	1	54996	28996
0rcts4	core.signature-checking.multisig.m-of-20	20	8	0	533495	221495
0s6gjd	core.signature-checking.multisig.m-of-15	15	1	0	394868	30868
0sg4rj	core.signature-checking.multisig.pubkey-validation	2	1	1	53922	27922
0sxd8n	core.signature-checking.multisig.m-of-20	20	2	1	527080	59080
0ttpm0	core.signature-checking.multisig.signing-serialization	3	2	2	80510	54510
0tzkfr	core.signature-checking.multisig.m-of-20	20	2	1	527118	59118
0v34lk	core.signature-checking.multisig.m-of-3	3	1	1	80025	28025
