# LBCH-2026-001 verification witness — THREE-WAY per-vector sigCheck record, post-fix.
#
# Re-measurement of the CHECKMULTISIG Schnorr billing fix (commit 06cc3a3) against BOTH reference
# engines. Supersedes nothing; it ADDS the BCHN (consensus) leg that the fix-time artifact
# LBCH-2026-001-fix-deltas.tsv lacked, which is what left the soundness direction unclosed.
#
# ENGINE / CORPUS VERSIONS
#   leanbch = ./.lake/build/bin/costprobe @ LeanBCH commit 06cc3a3, LEANBCH_SECP=native
#             (oracle banner: "native(libsecp256k1/BCHN-vendored)")
#   bchn    = legs/bchn/bchn-leg of bch-conformance, linking BCHN's own script engine built from
#             bchn-src @ 864c53ee34924cca6c6b6d96607ff2cedcdccf02 (v29.0.1), run with --mode consensus
#   libauth = @bitauth/libauth 3.1.0-next.8 at LeanBCH/optimizer/node_modules,
#             createVirtualMachineBch2026(); verify() for the verdict, evaluate().metrics for counts
#   corpus  = vmb_tests, the 11 signature families, 5,803 vectors, 4,467 metric-comparable.
#             Read from bchd-src/txscript/data/vmb_tests @ 1c26e26; all 18 family files are
#             byte-identical (cmp) to bchn-src/src/test/data/vmb_tests @ 864c53e.
#   Measured 2026-07-21.
#
# DRIVER VALIDATION (done BEFORE any use): the libauth driver reproduces the committed witness
#   conformance/evidence/LBCH-2026-001-rootcause.tsv on 0u4tu8 exactly (sigChecks 1, hashIters 22,
#   opCost 30962). The costprobe run reproduces all 1,486 rows of LBCH-2026-001-fix-deltas.tsv on
#   three independent columns (sigChecksAfter, libauthSigChecks, opCostAfter) with 0 mismatches.
#
# sigBefore is the pre-fix LeanBCH count, reconstructed from the committed fix-deltas artifact
# (which lists every vector that MOVED); vectors absent from it did not move, so before == after.
#
# HEADLINE — sigChecks, over the 4467 metric-comparable vectors:
#   vs libauth : before agree/over/under = (2229, 1912, 326)
#                after  agree/over/under = (2799, 1342, 326)
#   vs BCHN    : before agree/over/under = (1549, 2594, 324)
#                after  agree/over/under = (1759, 2384, 324)
#
# SOUNDNESS DIRECTION (LeanBCH billing LESS than consensus):
#   324 vectors bill under BCHN. ALL of them are vectors LeanBCH REJECTS
#   (leanVerdict=0) and BCHN accepts; 0 of them are new (the fix introduced none).
#   On the 1817 vectors LeanBCH ACCEPTS: under=0, agree=1547, over=270
#   — an under-bill on an accepted input is the only way a cost defect can cause a wrong ACCEPT,
#   and there are none, before or after the fix.
#   Cause of the 324: all are core.signing-serialization Schnorr-multisig vectors whose
#   locking script carries FOUR signature ops; LeanBCH errors at the first CHECKMULTISIG with a
#   non-empty dummy (the deferred branch, LeanBCH/VM/Extended.lean:228) and never executes -- hence
#   never bills -- the remaining three. Deferral of EXECUTION, not a billing error.
#
# MULTISIG PARTITION (the families named *.multisig.*): comparable=1367, verdict-agreeing-with-libauth=1155
#   vs libauth, verdict-agreeing: before (333, 820, 2) -> after (477, 676, 2)  (agree/over/under)
#   The historical "2,617 verdict-agreeing multisig vectors / 1,255 / 1,360 / 2" is NOT reproducible:
#   the multisig families supply only 1908 vectors in total (1367 comparable), and a search over 11
#   candidate partitions x {libauth,bchn} x {before,after} found NO combination yielding that triple.
#   Its "under = 2" column DOES reproduce exactly: 0u4tu8 and g8xdap, both m-of-15, both LeanBCH 0 /
#   libauth 1 / BCHN 0 -- i.e. LeanBCH matches CONSENSUS and libauth is the outlier (LBCH-2026-003).
#
# columns: sigBefore/sigAfter = LeanBCH pre/post fix; sigLibauth, sigBchn = reference engines.
# leanVerdict: 1=accept 0=reject. bchnOutcome: BCHN's accept/reject. expected: corpus polarity.
vectorId	family	variant	expected	leanVerdict	bchnOutcome	sigBefore	sigAfter	sigLibauth	sigBchn	opCostAfter
009y97	core.signing-serialization	standard	1	1	accept	4	4	4	4	109801
00kmpz	core.signing-serialization	standard	1	0	accept	2	1	4	4	28996
00yx5p	core.signing-serialization	invalid	0	0	reject	3	1	0	0	29465
020v0e	core.data-signatures	standard	1	1	accept	1	1	1	1	26886
0286yt	core.signing-serialization	invalid	0	0	reject	1	1	1	0	27918
02armf	core.signing-serialization	invalid	0	0	reject	5	5	5	0	136493
02qzv6	core.signing-serialization	invalid	0	0	reject	5	5	5	0	136298
02r3pu	core.signature-checking.multisig.signing-serialization	standard	1	0	accept	3	2	2	2	54510
03eju4	core.data-signatures	standard	1	1	accept	1	1	1	1	27540
03gmqd	core.signing-serialization	invalid	0	0	reject	7	7	7	0	188927
03pu8c	core.signing-serialization	standard	1	0	accept	1	1	4	4	28495
03rku8	core.signing-serialization	standard	1	1	accept	8	8	8	8	215326
03rw7x	core.signature-checking.multisig.signing-serialization	standard	1	0	accept	3	2	2	2	54510
03uzgm	core.data-signatures	standard	1	1	accept	1	1	1	1	26903
047tz3	core.signing-serialization	invalid	0	0	reject	1	1	1	0	28583
04m8ce	core.signing-serialization	invalid	0	0	reject	7	7	7	0	189175
04w0d5	core.signing-serialization	standard	1	0	accept	3	1	4	4	29393
050ryr	core.signature-checking.multisig.m-of-15	invalid	0	0	reject	15	1	1	0	30862
052qpx	core.signing-serialization	invalid	0	0	reject	1	1	1	0	28482
06k33j	core.signing-serialization	invalid	0	1	reject	6	6	0	0	161833
06mncj	core.data-signatures	standard	1	1	accept	1	1	1	1	27456
06qssy	core.signing-serialization	invalid	0	0	reject	7	7	0	0	189175
06rr6t	core.signature-checking.multisig.m-of-15	standard	1	1	accept	15	15	15	15	394866
072km0	core.signature-checking.multisig.m-of-3	invalid	0	0	reject	3	2	0	0	54510
076wqt	core.signing-serialization	standard	1	1	accept	4	4	4	4	108447
07el37	core.signature-checking.multisig.m-of-3	invalid	0	0	reject	3	2	0	0	54540
07gqep	core.signing-serialization	invalid	0	0	reject	1	1	0	0	28578
07gtkk	core.signing-serialization	standard	1	1	accept	4	4	4	4	108447
07qne6	core.signature-checking.multisig.signing-serialization	standard	1	0	accept	3	2	2	2	54510
0820et	core.signing-serialization	standard	1	0	accept	3	1	4	4	29489
08eklp	core.signing-serialization	invalid	0	0	reject	3	1	1	0	29393
08hle3	core.signing-serialization	standard	1	0	accept	2	1	4	4	28996
08t98k	core.signature-checking.multisig.pubkey-validation	standard	1	0	accept	2	1	1	1	27922
08urtk	core.signing-serialization	standard	1	1	accept	6	6	6	6	161604
08wqfe	core.signing-serialization	standard	1	1	accept	8	8	8	8	215121
092c78	core.signing-serialization	standard	1	0	accept	2	1	4	4	28996
09cuxu	core.signing-serialization	standard	1	1	accept	4	4	4	4	108404
09s4cl	core.signing-serialization	standard	1	0	accept	3	1	4	4	29369
0a5ukr	core.signing-serialization	invalid	0	0	reject	7	7	0	0	189175
0a6t8h	core.data-signatures	standard	1	1	accept	1	1	1	1	26808
0ad0wr	core.signing-serialization	invalid	0	0	reject	7	7	7	0	189151
0ae6x6	core.signing-serialization	standard	1	1	accept	2	2	2	2	55313
0asa3s	core.signing-serialization	invalid	0	1	reject	6	6	0	0	162682
0avmm6	core.signature-checking.multisig.signing-serialization	standard	1	1	accept	3	3	3	3	79784
0awnhe	core.signing-serialization	standard	1	0	accept	1	1	4	4	28471
0c4gpz	core.signature-checking.multisig.m-of-20	standard	1	0	accept	20	2	2	2	59104
0ccq6x	core.signing-serialization	invalid	0	1	reject	4	4	0	0	109801
0cd4q7	core.signature-checking.multisig.m-of-3	invalid	0	0	reject	3	2	0	0	54524
